timestamp,desc,model,split,annotation_mode,num_pos_points,num_neg_points,tta,overall_left_miou,overall_right_miou,overall_miou,overall_left_mdsc,overall_right_mdsc,overall_mdsc,total_time_seconds,total_time_minutes,bg_change_left_miou,bg_change_right_miou,bg_change_overall_miou,bg_change_left_mdsc,bg_change_right_mdsc,bg_change_overall_mdsc,blood_left_miou,blood_right_miou,blood_overall_miou,blood_left_mdsc,blood_right_mdsc,blood_overall_mdsc,low_brightness_left_miou,low_brightness_right_miou,low_brightness_overall_miou,low_brightness_left_mdsc,low_brightness_right_mdsc,low_brightness_overall_mdsc,regular_left_miou,regular_right_miou,regular_overall_miou,regular_left_mdsc,regular_right_mdsc,regular_overall_mdsc,smoke_left_miou,smoke_right_miou,smoke_overall_miou,smoke_left_mdsc,smoke_right_mdsc,smoke_overall_mdsc
2025-04-08 19:32:08,sam2 with +5 -5 each tool point prompt,sam2.1_hiera_base_plus,val,auto,5.0,5.0,no,0.4644065548499843,0.4914235093050154,0.4779150320774999,0.5704309058435337,0.5853201470027796,0.5778755264231566,3167.916211366653,52.79860352277756,0.852096456813422,0.870278623483402,0.861187540148412,0.9197003926682582,0.9304966053530696,0.9250984990106638,0.5081177880207811,0.541236890186834,0.5246773391038076,0.6488960903329042,0.647029708851348,0.647962899592126,0.1348267279058573,0.1353939613084483,0.1351103446071528,0.2335078245770357,0.2369969799448061,0.2352524022609209,0.6777034562924693,0.7663819142663423,0.7220426852794057,0.7989343125197782,0.8660447119430993,0.8324895122314389,0.1492883452173919,0.14382615728005,0.1465572512487209,0.2511159091196921,0.2460327289215747,0.2485743190206334
2025-04-12 09:44:04,sam2 with ground truth box prompt,sam2.1_hiera_base_plus,val,auto,5.0,5.0,no,0.6550206268459144,0.6762922302702359,0.6656564285580752,0.7605021570708432,0.7789158328918937,0.7697089949813685,2903.6936140060425,48.39489356676737,0.9073669280885188,0.9244674423290444,0.9159171852087816,0.9512004083752104,0.9606856425318252,0.9559430254535178,0.7719939479319372,0.7889684572160651,0.7804812025740012,0.8679434997523773,0.8789476550799612,0.8734455774161693,0.3286606660999855,0.39209712530182,0.3603788957009028,0.4777003575138108,0.5597385749085527,0.5187194662111819,0.8054045692257402,0.8392015440575342,0.8223030566416373,0.8898463049374293,0.9111983449606664,0.9005223249490477,0.4616770228833902,0.4367265824467153,0.4492018026650528,0.6158202147753878,0.5840089469784634,0.5999145808769256
2025-04-12 16:39:21,sam2 with grounding dino box prompt,sam2.1_hiera_base_plus,val,auto,5.0,5.0,no,0.6035335278393171,0.6482035750246437,0.6258685514319805,0.7128023641776471,0.7570283914416076,0.7349153778096275,2996.0385460853577,49.9339757680893,0.8936426222250832,0.9048639623383972,0.8992532922817403,0.9434704377734175,0.9499551811490085,0.9467128094612132,0.747271696702072,0.7705425404361571,0.7589071185691146,0.8509273022680103,0.8669560020023853,0.8589416521351977,0.341807908255535,0.3799283611868271,0.360868134721181,0.506061915207389,0.5474439352219502,0.5267529252146695,0.785556741420281,0.8101214831898834,0.7978391123050823,0.8768468076116734,0.8932256008270314,0.8850362042193524,0.2493886705936146,0.3755615279719533,0.312475099282784,0.3867053580277447,0.5275612380076626,0.4571332980177037
2025-04-12 23:47:41,"sam2 with grounding dino box prompt, no tta. clearing previous memory (non_cond_frame_outputs)",sam2.1_hiera_base_plus,val,auto,5.0,5.0,no,0.5963760298706068,0.6406938169242257,0.6185349233974162,0.7056573213749386,0.7487826327125339,0.7272199770437363,2124.786187648773,35.41310312747955,0.8918645403463102,0.904753072832979,0.8983088065896446,0.9424247537108438,0.9498616735893718,0.946143213650108,0.7322114217143832,0.7628048360697481,0.7475081288920656,0.8407833119609399,0.8617660459390999,0.8512746789500198,0.3197811757287485,0.3656909353064133,0.3427360555175808,0.4780479282638592,0.5295398131563241,0.5037938707100916,0.7777493854002208,0.8039010410167756,0.7908252132084983,0.8720025398022538,0.8894057648680135,0.8807041523351337,0.2602736261633706,0.3663191993952122,0.3132964127792914,0.3950280731367965,0.5133398660098601,0.4541839695733283
2025-04-15 08:40:01,sam2 with grounding dino box prompts. only first frame boxes are used. no tta. boxes were precomputed by using nms and other shit,sam2.1_hiera_base_plus,test,auto,,,no,0.7361399358640325,0.7388271272477086,0.7374835315558705,0.8264526829414957,0.8279034474646463,0.8271780652030709,4632.125814437866,77.20209690729777,0.8783110009619249,0.8929397416354009,0.885625371298663,0.9347930001539034,0.9433120850209988,0.9390525425874512,0.7940345676849834,0.8143842352108553,0.8042094014479192,0.8820683314506685,0.8952286558880146,0.8886484936693416,0.3397407287969218,0.3377868706217277,0.3387637997093247,0.4988530386181651,0.4956006920572237,0.4972268653376944,0.8590788324307123,0.8541296419346637,0.856604237182688,0.923707919470143,0.9209832078619128,0.922345563666028,0.8095345494456199,0.794895146835895,0.8022148481407574,0.8928411250145984,0.8843925964950815,0.88861686075484
2025-04-15 17:38:56,sam2 with grounding dino box prompts. only first frame boxes are used. no tta. boxes were precomputed by using nms and other shit,sam2.1_hiera_base_plus,test,auto,,,no,0.8107277530134498,0.8346953999398371,0.8227115764766435,0.8936094039910917,0.9082838124184645,0.900946608204778,298.93671798706055,4.982278633117676,,,,,,,,,,,,,,,,,,,,,,,,,0.8107277530134498,0.8346953999398371,0.8227115764766435,0.8936094039910917,0.9082838124184645,0.900946608204778
2025-04-15 18:00:18,sam2 with grounding dino box prompts. only first frame boxes are used. no tta. boxes were precomputed by using nms and other shit,sam2.1_hiera_base_plus,test,auto,5.0,5.0,no,0.7383805450730617,0.7605889874774844,0.749484766275273,0.8420297818177365,0.856930721694531,0.8494802517561337,339.63429832458496,5.660571638743082,,,,,,,,,,,,,,,,,,,,,,,,,0.7383805450730617,0.7605889874774844,0.749484766275273,0.8420297818177365,0.856930721694531,0.8494802517561337
2025-04-15 18:05:47,sam2 with grounding dino box prompts. only first frame boxes are used. no tta. boxes were precomputed by using nms and other shit,sam2.1_hiera_base_plus,test,auto,1.0,0.0,no,0.7813893778816964,0.809434237661204,0.7954118077714503,0.8752327910974369,0.8938227923599915,0.8845277917287142,258.3962383270264,4.306603972117106,,,,,,,,,,,,,,,,,,,,,,,,,0.7813893778816964,0.809434237661204,0.7954118077714503,0.8752327910974369,0.8938227923599915,0.8845277917287142
2025-04-15 18:12:43,"video demo koothu bro, sadge",sam2.1_hiera_base_plus,test,auto,,,no,0.7532813797435487,0.848908631556139,0.8010950056498438,0.8562841915400154,0.9174619281814712,0.8868730598607433,196.4380617141724,3.2739676952362062,,,,,,,,,,,,,,,,,,,,,,,,,0.7532813797435487,0.848908631556139,0.8010950056498438,0.8562841915400154,0.9174619281814712,0.8868730598607433
2025-04-15 18:36:22,"video demo koothu bro, sadge",yolo11x-seg,test,auto,0.0,1.0,no,0.2609167401925097,0.3743464602866894,0.3176316002395996,0.370764629081728,0.5007034361886512,0.4357340326351896,84.70546746253967,1.4117577910423278,,,,,,,,,,,,,,,,,,,,,,,,,0.2609167401925097,0.3743464602866894,0.3176316002395996,0.370764629081728,0.5007034361886512,0.4357340326351896
